Nombre del programa ac adémico al que pertenece el estudiante de la UD,Facultad,Categoría de la Movilidad,País de destino,"Nombre de la IES, Institución o Empresa de destino",Presupuesto asignado,Acto administrativo del apoyo a la movilidad (Resolución - Contrato u otro)
Ing. Topográfica,Medio Ambiente y Recursos Naturales,Semestre académico,España,Universidad Politécnica de Madrid Escuela de Topografía, N/A , N/A 
Ing. Sanitaria,Medio Ambiente y Recursos Naturales,Semestre académico,España,Universidad de Cantabria,$5.500.000,Resolución de Rectoría No. 118 de 2017
Ing. Sanitaria,Medio Ambiente y Recursos Naturales,Semestre académico,México,Universidad de Quintana Roo (México), N/A , N/A 
Ing. Topográfica,Medio Ambiente y Recursos Naturales,Semestre académico,México,Universidad Nacional Autónoma de México, N/A , N/A 
Admon Deportiva,Medio Ambiente y Recursos Naturales,Semestre académico,Perú,Universidad Peruana de Ciencias Aplicadas,$3.200.000,Resolución de Rectoría No. 118 de 2017
Admon Ambiental,Medio Ambiente y Recursos Naturales,Semestre académico,Colombia,Universidad Nacional de Colombia, N/A , N/A 
Admon Ambiental,Medio Ambiente y Recursos Naturales,Semestre académico,Colombia,Universidad Nacional de Colombia, N/A , N/A 
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,México,ENPEG La Esmeralda, N/A , N/A 
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,México,Universidad Nacional Autónoma de México, N/A , N/A 
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,Argentina,Universidad Nacional de las Artes,$5.000.000,Resolución de Rectoría No. 118 de 2017
Artes Escénicas,Artes ASAB,Semestre académico,Chile,Universidad Mayor de Chile, N/A , N/A 
Artes Musicales,Artes ASAB,Semestre académico,Brasil,Universidad Estadual de Campinas,$6.300.000,Resolución de Rectoría No. 118 de 2017
Artes Escénicas,Artes ASAB,Semestre académico,México,Universidad de Guadalajara, N/A , N/A 
Artes Escénicas,Artes ASAB,Semestre académico,México,Universidad de Guadalajara, N/A , N/A 
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,México,ENPEG La Esmeralda, N/A , N/A 
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,México,ENPEG La Esmeralda,$4.000.000,Resolución de Rectoría No. 118 de 2017
